x,y,OBJECTID_1,OBJECTID,SETL_CODE,MGLSDE_LOC,MGLSDE_L_1,MGLSDE_L_2,MGLSDE_L_3,MGLSDE_L_4,lat,lon
3878046.377,3744646.007,1,1,862,גני יוחנן,536,31,מושבים (כפרים שיתופיים) (ב),GANNE YOHANAN,31.6876812274173,34.8749503573193
3886583.621,3758490.615,2,2,863,גינתון,582,31,מושבים (כפרים שיתופיים) (ב),GINNATON,31.8048361011965,34.9432682212336
3887843.616,3740920.431,3,3,864,בקוע,497,31,מושבים (כפרים שיתופיים) (ב),BEQOA,31.6561549196141,34.9533469142411
3852502.984,3684333.683,4,4,865,שיבולים,297,31,מושבים (כפרים שיתופיים) (ב),SHIBBOLIM,31.1773104984584,34.6702473158631
3903203.827,3490059.528,5,5,866,יטבתה,576,33,קיבוצים,YOTVATA,29.5333373550636,35.0761260517985
3896596.019,3830502.218,6,6,868,אלוני יצחק,223,34,ישובים מוסדיים יהודים,ALLONE YIZHAQ,32.4142076401028,35.0233274450253
3887453.921,3776198.879,7,7,870,גבעת השלושה,439,33,קיבוצים,GIV'AT HASHELOSHA,31.9546857277738,34.9502298619037
3889398.896,3774192.481,8,8,871,עינת,611,33,קיבוצים,ENAT,31.9377073321839,34.9657861019161
3885231.483,3814918.857,9,9,872,גאולי תימן,311,31,מושבים (כפרים שיתופיים) (ב),GE'ULE TEMAN,32.2823392214263,34.9324512789179
3870316.499,3706271.24,10,10,873,שלווה,449,31,מושבים (כפרים שיתופיים) (ב),SHALWA,31.3629489604745,34.8130504655541
3889645.673,3797219.046,11,11,875,כפר עבודה,400,34,ישובים מוסדיים יהודים,KEFAR AVODA,32.1325611164182,34.9677596784586
3881859.499,3812828.738,12,12,877,בית חירות,616,31,מושבים (כפרים שיתופיים) (ב),BET HERUT,32.2646523614806,34.9054703661600
3889051.75,3799295.912,13,13,880,עין שריד,1150,35,ישובים כפריים יהודים אחרים,EN SARID,32.1501358282319,34.9630097597622
3878538.238,3767891.325,14,14,883,רמת פנקס,531,35,ישובים כפריים יהודים אחרים,RAMAT PINKAS,31.8843861280749,34.8788877391730
3873217.493,3616064.676,15,15,885,שדה בוקר,471,33,קיבוצים,SEDE BOQER,30.5996092919798,34.8362860256300
3906834.034,3734246.743,16,16,886,איתנים,203,34,ישובים מוסדיים יהודים,ETANIM,31.5996813051943,35.1051199288701
3873036.686,3730482.929,17,17,888,"כפר הרי""ף",531,31,מושבים (כפרים שיתופיים) (ב),KEFAR HARIF,31.5678314225431,34.8348380213942
3905895.939,3862513.826,18,18,889,כפר חסידים ב',188,35,ישובים כפריים יהודים אחרים,KEFAR HASIDIM BET,32.6850940290561,35.0976283765617
